Topic,Output,Description
NA,NA,NA
Metadata,Tables,Scan lists
Metadata,Tables,Subject Info
Metadata,README,NA
Metadata,JSON Files,NA
Metadata,JSON Files,NA
Documentation,Lab Protocols,NA
Documentation,Filenaming convention,NA
Documentation,Folder Organization,NA
Documentation,Metadata (JSON fields),NA
Scripts,R-Quarto,Join Tables
Scripts,R-Quarto,Interactive DataTable
Scripts,R-Quarto,Render website
Scripts,Gitlab Continuous Integration,.gitlab-ci.yml
Repository,Gitlab,Gitlab Page - Interactive hub
Repository,Gitlab,Wiki
Repository,Gitlab,Metadata tables
Repository,Gitlab,Scripts 
Repository,Gitlab,Thumbnails
Resource estimation,Time logs,NA
Resource estimation,Stakeholder assessment,NA
