JSON_section,Data name,Data Description,Data type,Permissible values
Info,SynchrotronName,Name of the synchrotron facility,string,Dummy-synchrotron
Info,SynchrotronAcronym,Acronym of the synchrotron facility,string,Sync1234
Info,IntendedFor,Name of the source file this metadata describes,string,
Info,BeamlineAcronym,"Institution defined name of the machine. Corresponds to DICOM Tag DICOM tag 0008,1010.",string,BL20B2
Info,BeamtimeSessionStartDate,YYYY-MM-DD,date,2024-01-13
Info,BeamtimeSessionEndDate,YYYY-MM-DD,date ,2024-01-13
Info,SpeciesName,,string,mouse (mus musculus)
Info,SpeciesStrain,,alphanumeric,C123456 
Info,SubjectID,,alphanumeric,
Info,Sex,,alphanumeric,
Info,BodyWeight_gr,,number,
Info,BodyPart,"Name of the organ / body region scanned. Corresponds to DICOM Tag DICOM tag 0018,0015.",string,brain
Acquisition,DetectorArrayWidth,,number,123
Acquisition,DetectorArrayHeight,,number,456
Acquisition,DetectorBitDepth,,number,16
Acquisition,DetectorPixelSize,in µm,number,6
Acquisition,RotationAngle,,number,180
Reconstruction,CenterOfRotationMethod,,string,manual
Reconstruction,CenterOfRotationValue,"In pixels""",number,3
Reconstruction,ReconMatrixSize ,Size of the reconstruction matrix in pixels,array of three numbers,"[1,1,2]"
Reconstruction,ReconMethodNameMethodName,"Reconstruction method or algorithm. Corresponds to DICOM Tag 0054,1103. ",string,dummy-method
Reconstruction,MethodImplementationVersion ,"Identification for the software used, such as name and version (optional) ",string,in-house-bash-script-v02
Reconstruction,FilterType ,Type of post-recon smoothing ,string,gaussian
